model,price
Samsung Flip 3 -128GB,282
Samsung Flip 3 -256GB,290
Samsung Flip 4 -128GB,342
Samsung Flip 4 - 256GB,368
Samsung Fold 3 - 256GB,502
Samsung Fold 3 - 512GB,518
Samsung Fold 4 - 256GB,572
Samsung Fold 4 - 512GB,595
Samsung Fold 5 - 256GB,802
Samsung Fold 5 - 512GB,818
Samsung Fold 6 - 256GB,1110
Samsung Fold 6 - 512GB,1202
Samsung Flip 6 - 256GB,572
S20,231
S21,295
S21Ultra,372
S21Plus,310
S22Ultra-128GB,464
S22Ultra-256GB,492
S22Ultra-512GB,510
23Ultra-256GB,633
S23Ultra-512,648
S24Ultra - 256 ,772
S24Ultra-512,656
S24Ultra - 2Sim - 256 ,848
S24Ultra - 2Sim -512,925
S25Ultra-256GB,1079
S9-64GB,222
S9Plus-64GB,232
S10-128GB,264
S10Plus-128GB,295
Note20,295
Note20Ultra -256GB,372
Note8-64GB,224
Note9-64GB,242
Note10-256GB,279
Note10Plus-256GB,325
